analyte_id	aliquot_id	month_of_shipment	plate_id	biospecimen_barcode_bottom	center_id	plate_column	is_derived_from_ffpe	volume	amount	plate_row	day_of_shipment	year_of_shipment	bcr_aliquot_uuid	source_center	concentration	quantity	material_type	protocol_type	protocol_description
TCGA-EJ-7123-01A-11R	TCGA-EJ-7123-01A-11R-1964-13	8	1964	1053936556	13	1	NO	20		A	17	2011	775e94ec-c869-41d0-bd79-f9646292c1d7	22	0.15	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-ZG-A9LY-01A-11D	TCGA-ZG-A9LY-01A-11D-A41K-08	5	A41K	174190718	8	10	NO	40		C	28	2014	5A1F1C7E-8D3B-4323-A37D-767B65089DBF	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-M7-A724-10A-01W	TCGA-M7-A724-10A-01W-A35U-08	1	A35U	160337915	8	10	NO	80		H	29	2014	ABCE732B-F1A1-47B4-AD85-C6FD1F68DF88	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-VP-A87D-01A-11R	TCGA-VP-A87D-01A-11R-A352-07	12	A352	160339625	7	7	NO	13		E	18	2013	CA36F013-1F5D-41F4-85A5-2B8A149A5CFA	23	0.16	2.08	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7742-10A-01D	TCGA-HC-7742-10A-01D-2115-08	1	2115	120997989	8	3	NO	60		C	4	2012	c8565d71-27c7-400a-bd9b-97fd79a7e8e7	22	0.05	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5508-01A-02W	TCGA-EJ-5508-01A-02W-1610-08	3	1610	1052625952	8	7	NO	80		D	21	2011	d1943e54-f74b-41b4-87fb-9946a74d3b8b	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5505-01A-01W	TCGA-EJ-5505-01A-01W-1610-08	3	1610	1052625917	8	7	NO	80		A	21	2011	f0658718-1b14-422c-8b5f-e3655e442296	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5532-01A-01R	TCGA-EJ-5532-01A-01R-1579-13	2	1579	1049967918	13	8	NO	20		H	23	2011	a8a89875-ae24-4584-8abb-c7accf37643e	22	0.16	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-ZG-A8QX-10A-01D	TCGA-ZG-A8QX-10A-01D-A379-01	2	A379	164055304	1	8	NO	6.7		E	26	2014	CF45037D-0113-4F2C-BD44-60FC370134E4	23	0.14	0.94	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7330-10A-01D	TCGA-EJ-7330-10A-01D-2112-01	1	2112	120996706	1	11	NO	6.67		F	4	2012	4c61a5e2-2d42-4d0a-89d5-d9d5a2727d53	22	0.16	1.07	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-8261-01B-05D	TCGA-HC-8261-01B-05D-2298-08	5	2298	125246635	8	1	YES	20		H	31	2012	52d06f71-3337-45f9-9f4b-ffc975c73870	22	0.13	2.6	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5763-11A-01D	TCGA-CH-5763-11A-01D-1578-05	2	1578	1049968061	5	9	NO	26.7		D	23	2011	00da4afd-c78d-4176-bc94-ab827b96a3a7	22	0.13	3.47	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A9Z7-01A-11R	TCGA-V1-A9Z7-01A-11R-A41R-13	5	A41R	174163707	13	4	NO	20		F	28	2014	3E86CBCB-26CF-4243-BAC2-E3F933787339	23	0.16	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-FC-A4JI-10A-01W	TCGA-FC-A4JI-10A-01W-A282-08	3	A282	145633366	8	2	NO	80		G	25	2013	D89D3242-45D0-4752-BE39-E9C6FD3AE651	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-ZG-A9L1-10A-01D	TCGA-ZG-A9L1-10A-01D-A41M-01	5	A41M	174186271	1	8	NO	6.7		F	28	2014	AAF12137-10F8-44BC-840C-DE814CB8B6A6	23	0.14	0.94	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-A6AO-10A-01D	TCGA-HC-A6AO-10A-01D-A30G-01	6	A30G	150705253	1	8	NO	6.7		G	12	2013	3F342C4A-0E89-4318-A3F9-DECB9607D5E8	23	0.15	1.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5519-01A-01D	TCGA-EJ-5519-01A-01D-1578-05	2	1578	1049968100	5	7	NO	26.7		G	23	2011	6c6a5226-079b-4930-ab1c-5cee959b6864	22	0.15	4.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7327-10A-01D	TCGA-EJ-7327-10A-01D-2111-02	1	2111	120997059	2	4	NO	10		H	4	2012	b8ea6339-5f79-4e87-998f-c06e7799e32a	22	0.16	1.6	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-A8FS-01A-11D	TCGA-EJ-A8FS-01A-11D-A34U-08	1	A34U	160339757	8	6	NO	40		B	6	2014	90D86EAA-DE07-46A6-AA08-8906F255AE65	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A8MF-01A-11W	TCGA-V1-A8MF-01A-11W-A447-08	7	A447	167803407	8	9	NO	80		G	8	2014	27B3C38D-C462-414B-B2E6-6E09868BD5E3	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5532-01A-01D	TCGA-EJ-5532-01A-01D-1576-08	2	1576	1049969452	8	8	NO	40		H	23	2011	64b492d0-73c0-4de0-bad1-5ef62275b035	22	0.05	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-YL-A8HO-10A-01D	TCGA-YL-A8HO-10A-01D-A362-08	1	A362	164080500	8	12	NO	40		A	29	2014	0B70F94F-F1C7-406B-B91B-3293C29E666B	23	0.07	2.8	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-A6HY-01A-11R	TCGA-HC-A6HY-01A-11R-A31N-07	7	A31N	150757641	7	9	NO	13		A	24	2013	027F330A-6206-4FD4-8790-8BB5E0207BC1	23	0.16	2.08	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-YL-A9WJ-01A-11R	TCGA-YL-A9WJ-01A-11R-A37H-13	2	A37H	164104193	13	7	NO	20		C	26	2014	449B6C7F-71F6-4965-A0BC-4A0807D3EDEF	23	0.17	3.4	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6494-11A-01D	TCGA-G9-6494-11A-01D-1785-01	5	1785	1053959658	1	4	NO	6.67		G	25	2011	a88bfac4-a34d-4a07-a3ae-cfb06e1ac921	22	0.14	0.93	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-QU-A6IO-01A-11W	TCGA-QU-A6IO-01A-11W-A333-08	10	A333	153887577	8	10	NO	80		D	21	2013	A0A44709-F4A9-4192-B4E3-0E3A649DBF48	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-2A-AAYU-01A-11R	TCGA-2A-AAYU-01A-11R-A41R-13	5	A41R	174163751	13	1	NO	20		C	28	2014	FF0A8409-F433-4BEF-8180-3F381A4A7F1A	23	0.18	3.6	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7797-01A-11R	TCGA-EJ-7797-01A-11R-2263-07	4	2263	128285411	7	1	NO	13.3		C	25	2012	960c1e43-d2be-41f0-9f3a-8234cddb84be	22	0.15	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-A46D-10A-01W	TCGA-EJ-A46D-10A-01W-A282-08	3	A282	145633393	8	2	NO	80		D	25	2013	94AD3182-6B7D-43EE-8AEE-DAEAD722301D	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5512-10A-01W	TCGA-EJ-5512-10A-01W-1611-08	3	1611	1052626050	8	5	NO	80		D	21	2011	4b5e83a7-e2ce-413b-aa81-36a9c3424cd2	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5750-10A-01W	TCGA-CH-5750-10A-01W-1610-08	3	1610	1052625993	8	11	NO	80		G	21	2011	bac110ef-f151-4544-96b5-67ca5354bc3d	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-VP-A87E-01A-31R	TCGA-VP-A87E-01A-31R-A352-07	12	A352	160339614	7	7	NO	13		F	18	2013	ECBB33FF-C485-485F-A169-6BB7C1C84BAF	23	0.16	2.08	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-8216-01A-11R	TCGA-HC-8216-01A-11R-A29R-07	5	A29R	132275692	7	9	NO	13		A	8	2013	98021887-FB82-4CB4-A5F4-C4316901DA21	23	0.14	1.82	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A9OQ-01A-11R	TCGA-V1-A9OQ-01A-11R-A41O-07	5	A41O	174164619	7	4	NO	13		B	28	2014	46993591-8FFA-4E54-BA85-D013A7C190C9	23	0.17	2.21	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-A6RA-01A-11D	TCGA-EJ-A6RA-01A-11D-A33U-05	10	A33U	160355418	5	6	NO	13		A	30	2013	FBA2CF89-EDBB-4CA2-8DEB-943511D728E2	23	0.15	1.95	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6333-11A-01D	TCGA-G9-6333-11A-01D-1963-05	8	1963	1053936898	5	7	NO	13.3		E	17	2011	9aaa8732-0df5-46d4-9c86-8bef49c0be3a	22	0.16	2.13	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A59X-01A-11D	TCGA-KK-A59X-01A-11D-A29Q-08	5	A29Q	132268924	8	5	NO	40		F	8	2013	6F555699-002C-43D7-B5EF-22DEEBBAE2A5	23	0.07	2.8	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-A632-01A-11D	TCGA-HC-A632-01A-11D-A323-01	9	A323	145635609	1	5	NO	8		F	3	2013	F66B6FEB-E259-4EB6-93B8-081A2A0581A5	23	0.16	1.28	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A9OL-10A-01D	TCGA-V1-A9OL-10A-01D-A41N-08	5	A41N	174188612	8	4	NO	40		C	28	2014	8630A7BF-BDE9-4726-AC4D-8641B8365DE9	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5497-01A-02W	TCGA-EJ-5497-01A-02W-1610-08	3	1610	1052625916	8	6	NO	80		A	21	2011	7a259a93-6eb4-4a34-ba17-3a13bac2469d	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6364-10A-01W	TCGA-G9-6364-10A-01W-1821-08	6	1821	1053963614	8	6	NO	80		E	20	2011	57300bf0-1c2a-475f-bb2c-28f8231515eb	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-YL-A8S8-10A-01W	TCGA-YL-A8S8-10A-01W-A44K-08	7	A44K	167802739	8	5	NO	80		G	8	2014	010348F8-2A47-4CFE-AAF6-50E6D549C393	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6338-10A-01D	TCGA-G9-6338-10A-01D-1961-08	8	1961	113624986	8	11	NO	60		D	17	2011	e152fd51-11d4-46c4-b803-1b79e8f6cf18	22	0.05	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A7B3-01A-11R	TCGA-KK-A7B3-01A-11R-A33R-07	10	A33R	160353225	7	3	NO	13		B	30	2013	F3B04F74-8565-45F4-8A14-C0400C954AC4	23	0.17	2.21	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5494-01A-01R	TCGA-EJ-5494-01A-01R-1579-13	2	1579	1049967922	13	4	NO	20		H	23	2011	e0051c9c-979b-47bb-8d0d-00e4e991124a	22	0.15	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7318-01B-11D	TCGA-EJ-7318-01B-11D-A32B-08	9	A32B	153886359	8	9	NO	40		A	25	2013	5B812FF8-DF95-4CB8-994F-3781FFAA7283	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7209-01A-11W	TCGA-HC-7209-01A-11W-2161-08	1	2161	120988851	8	4	NO	80		D	30	2012	3155607c-4a4c-43ba-8597-6f01d43f6467	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-8261-01A-11W	TCGA-HC-8261-01A-11W-2288-08	5	2288	128286926	8	3	NO	80		B	23	2012	961ce37e-be57-42f7-badc-3f1345cc560a	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7794-11A-01D	TCGA-EJ-7794-11A-01D-2112-01	1	2112	120996711	1	9	NO	6.67		E	4	2012	bb50fa38-11bb-48fe-a599-59ec07537b05	22	0.14	0.93	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5790-10A-01D	TCGA-CH-5790-10A-01D-1576-08	2	1576	1049969423	8	12	NO	40		E	23	2011	c66f09bd-db15-4633-aeba-4f579345c6d0	22	0.05	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-M7-A720-01A-12R	TCGA-M7-A720-01A-12R-A360-13	1	A360	164082147	13	4	NO	23.3		H	29	2014	C3FF3120-941E-48AA-A2B6-46CEA5C644B1	23	0.17	3.96	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-J4-A67R-01A-21D	TCGA-J4-A67R-01A-21D-A30E-08	6	A30E	132267230	8	10	NO	40		C	12	2013	8DF8A2B1-72DE-4A9C-A20D-F659CEFE1ED4	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6365-01A-11W	TCGA-G9-6365-01A-11W-1821-08	6	1821	1053963586	8	2	NO	80		C	20	2011	b766dc73-d367-4058-a212-a8f6ebd14245	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5514-01A-01D	TCGA-EJ-5514-01A-01D-1578-05	2	1578	1049968039	5	7	NO	26.7		B	23	2011	1ce45d6d-05e6-4fd4-a060-423727b05eb8	22	0.15	4.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6363-01A-21R	TCGA-G9-6363-01A-21R-1789-07	5	1789	1053959751	7	1	NO	13.3		G	25	2011	766eb893-3bc9-4a17-9b66-7eed2b1c01c3	22	0.15	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7740-11A-01D	TCGA-HC-7740-11A-01D-2112-01	1	2112	120996758	1	10	NO	6.67		A	4	2012	702a24b2-d4ec-4082-b703-f4da90fbae66	22	0.14	0.93	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-A6AS-01A-11R	TCGA-HC-A6AS-01A-11R-A30B-07	6	A30B	132267594	7	6	NO	13		E	12	2013	9605AA9B-2739-4D98-864D-FCFDB59B9EF5	23	0.16	2.08	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-J4-AATV-01A-11R	TCGA-J4-AATV-01A-11R-A41O-07	5	A41O	174164590	7	2	NO	13		E	28	2014	692C9E12-4EBC-43E2-A520-6E22B6B4E8ED	23	0.16	2.08	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A8I8-01A-11R	TCGA-KK-A8I8-01A-11R-A36G-07	1	A36G	164080783	7	4	NO	13		B	29	2014	532E3276-07D4-4E86-A955-4F474BC8AE36	23	0.16	2.08	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-A65E-01A-11D	TCGA-EJ-A65E-01A-11D-A29T-05	5	A29T	132274152	5	4	NO	13		E	8	2013	2A2CFBCF-9E6E-4095-9FD2-0315D53B245C	23	0.14	1.82	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5501-01A-01D	TCGA-EJ-5501-01A-01D-1576-08	2	1576	1049969431	8	5	NO	40		F	23	2011	fab0baa4-2ef4-46d7-a5c1-33592870967f	22	0.05	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-YL-A8S8-10A-01D	TCGA-YL-A8S8-10A-01D-A379-01	2	A379	164055283	1	5	NO	6.7		G	26	2014	EB45E9BE-6ACB-4C95-9C0D-23FAEC98C0DD	23	0.16	1.07	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A7B4-01A-11W	TCGA-KK-A7B4-01A-11W-A35V-08	1	A35V	164082705	8	10	NO	80		B	29	2014	A8952B65-2ED7-4AA8-970C-AC17F852337A	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-A46B-10A-01D	TCGA-EJ-A46B-10A-01D-A259-01	12	A259	132255814	1	2	NO	6.7		C	19	2012	CD516D10-47A2-46A4-9C25-D3CC442DB307	23	0.15	1.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-A8D0-10A-01D	TCGA-HC-A8D0-10A-01D-A362-08	1	A362	164080458	8	6	NO	40		E	29	2014	15291A8D-12A8-4092-914C-995DBB9B607B	23	0.07	2.8	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KC-A4BO-01A-61R	TCGA-KC-A4BO-01A-61R-A250-07	12	A250	132256510	7	2	NO	13		A	19	2012	45800F86-85BB-4F63-B0B3-F9FA22624502	23	0.17	2.21	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-A65M-01A-11D	TCGA-EJ-A65M-01A-11D-A29T-05	5	A29T	132275823	5	4	NO	13		G	8	2013	44E51502-7096-4A54-8042-0E9815AC9156	23	0.15	1.95	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A8I6-01A-11D	TCGA-KK-A8I6-01A-11D-A364-08	1	A364	164082582	8	7	NO	40		D	29	2014	B09465A0-6766-4401-8AB3-1F7B0BA892CD	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7231-01A-11R	TCGA-HC-7231-01A-11R-2118-07	1	2118	120997851	7	4	NO	13.3		F	4	2012	f7d253d6-fce6-42d3-8926-563e8e7eff7f	22	0.16	2.13	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-J4-A6M7-01A-11D	TCGA-J4-A6M7-01A-11D-A31L-08	7	A31L	150757671	8	9	NO	40		E	24	2013	68EADFBA-D2EC-47A5-9AE8-CBBF066962E8	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5746-01A-11D	TCGA-CH-5746-01A-11D-1574-01	2	1574	1049968406	1	2	NO	6.67		A	23	2011	e1683906-ce4f-44a1-864e-f7e34aa53398	22	0.15	1	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6365-01A-11D	TCGA-G9-6365-01A-11D-1787-05	5	1787	107043589	5	2	NO	13.3		A	25	2011	51d57cd7-6909-4ec4-b511-a1b857aaf306	22	0.17	2.26	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6348-10A-01W	TCGA-G9-6348-10A-01W-1821-08	6	1821	1053963566	8	6	NO	80		A	20	2011	032d9fa2-e724-4e76-b9d7-a634527d4e31	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-8258-10A-01W	TCGA-HC-8258-10A-01W-2288-08	5	2288	128286990	8	6	NO	80		G	23	2012	1d3f2654-9ace-43b3-b80e-322d7ac182e8	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HI-7170-10A-01W	TCGA-HI-7170-10A-01W-2162-08	1	2162	120991446	8	7	NO	80		D	30	2012	0ec61b27-47b5-4b73-af47-9a5481ca9ec0	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-2A-A8VT-01A-11D	TCGA-2A-A8VT-01A-11D-A377-08	2	A377	164104249	8	2	NO	40		F	26	2014	517CB9AF-54EC-4A7E-B093-16081DCFA7E1	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KC-A7FE-01A-12D	TCGA-KC-A7FE-01A-12D-A33T-08	10	A33T	160355166	8	7	NO	40		F	30	2013	9EEC79FD-CCA8-4D92-BDA0-C4D392CFA575	23	0.07	2.8	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7080-10A-01D	TCGA-HC-7080-10A-01D-1959-01	8	1959	113624747	1	12	NO	6.67		H	17	2011	a8329945-7a13-4ed3-95df-ac0f6fccf7b6	22	0.16	1.07	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7317-11A-01D	TCGA-EJ-7317-11A-01D-2114-08	1	2114	120997254	8	7	NO	60		H	4	2012	4a98a524-c610-4237-ae25-5e8fdf17d582	22	0.05	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-M7-A721-01A-12R	TCGA-M7-A721-01A-12R-A32O-07	9	A32O	153880625	7	7	NO	13		G	25	2013	B490A174-95FA-4681-BE76-E1690FB17131	23	0.17	2.21	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HI-7169-01A-11R	TCGA-HI-7169-01A-11R-2117-13	1	2117	120997710	13	7	NO	20		B	4	2012	593657ff-922d-4915-83b3-a3afd1649580	22	0.16	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7784-11A-01W	TCGA-EJ-7784-11A-01W-2161-08	1	2161	120988881	8	10	NO	80		B	30	2012	19bf3a78-75eb-45e7-b6e6-0d0a919320b4	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5496-01A-01D	TCGA-EJ-5496-01A-01D-1578-05	2	1578	1049968041	5	5	NO	26.7		B	23	2011	be41781a-7819-40be-b609-6eca9348828a	22	0.14	3.74	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-A46B-01A-31R	TCGA-EJ-A46B-01A-31R-A25C-13	12	A25C	132257087	13	1	NO	20		A	19	2012	A42EDC4E-083A-4CC9-AC10-F2AD26CD931B	23	0.18	3.6	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7081-10A-01D	TCGA-HC-7081-10A-01D-1962-08	8	1962	113625407	8	1	NO	60		A	17	2011	0bc728e9-ef17-4595-b98a-4d83e59dfca9	22	0.05	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A9Z8-01A-11R	TCGA-V1-A9Z8-01A-11R-A41O-07	5	A41O	174164564	7	4	NO	13		G	28	2014	6EB18BD6-15F9-42FB-A8D0-91C7FB0342FF	23	0.17	2.21	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5739-10A-01D	TCGA-CH-5739-10A-01D-1572-02	2	1572	1049968252	2	9	NO	13.3		D	23	2011	d65d905a-898f-46ac-971f-b287e3fa2366	22	0.15	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5526-01A-01D	TCGA-EJ-5526-01A-01D-1578-05	2	1578	1049968062	5	8	NO	26.7		D	23	2011	db1d7e30-f5a5-4fd4-b3f4-ee03c4d814ec	22	0.15	4.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-YL-A8SB-10A-01D	TCGA-YL-A8SB-10A-01D-A379-01	2	A379	164055330	1	6	NO	6.7		C	26	2014	E2B43F62-5A08-4CFF-85CA-806E7AB13BD3	23	0.17	1.14	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A8WV-01A-11D	TCGA-V1-A8WV-01A-11D-A378-05	2	A378	164055277	5	4	NO	13		D	26	2014	A0D40B57-5BDD-4E8A-BB04-ACE4D13947FA	23	0.16	2.08	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A7AV-01A-11D	TCGA-KK-A7AV-01A-11D-A32C-05	9	A32C	153879303	5	9	NO	13		E	25	2013	2C4B5887-8203-48C3-A496-0D7B7751C6E3	23	0.16	2.08	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-A632-01A-11W	TCGA-HC-A632-01A-11W-A31C-08	7	A31C	153887971	8	5	NO	80		C	24	2013	AD8BC825-7B3F-46E0-9F19-6D609750CFC4	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-VN-A88N-10B-01D	TCGA-VN-A88N-10B-01D-A362-08	1	A362	164080473	8	10	NO	40		D	29	2014	A8F14EB8-6C49-4824-95E3-5D14CFE55729	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-2A-A8VO-01A-11R	TCGA-2A-A8VO-01A-11R-A37H-13	2	A37H	164104177	13	2	NO	20		D	26	2014	2B6038C5-CEAD-42FC-90DF-E954EDD64E84	23	0.18	3.6	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A8IF-11A-11D	TCGA-KK-A8IF-11A-11D-A362-08	1	A362	164080456	8	8	NO	40		E	29	2014	727485CA-631F-41A3-8F98-7450503B45F0	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5738-01A-11D	TCGA-CH-5738-01A-11D-1574-01	2	1574	1049968428	1	1	NO	6.67		B	23	2011	0fa36fc6-71e1-479b-b882-cfe83d08e1e0	22	0.16	1.07	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-YL-A8SF-01A-11R	TCGA-YL-A8SF-01A-11R-A37H-13	2	A37H	164104132	13	5	NO	20		H	26	2014	4CFE32F0-3CAF-4BB1-A12F-7450FCFA4FE0	23	0.15	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-J4-A67Q-01A-21D	TCGA-J4-A67Q-01A-21D-A30F-05	6	A30F	150705297	5	10	NO	13		B	12	2013	35F8BB5A-4B05-4CF8-8151-0EC43FC215B1	23	0.16	2.08	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-J4-8200-10A-01D	TCGA-J4-8200-10A-01D-A29Q-08	5	A29Q	132275652	8	12	NO	40		E	8	2013	E0BBF450-EB07-4A04-BFB5-5D1A5E885209	23	0.07	2.8	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-M7-A722-01A-12D	TCGA-M7-A722-01A-12D-A365-05	1	A365	164083335	5	9	NO	13		E	29	2014	C2FE8308-B985-4B24-8888-45D5A13D4409	23	0.15	1.95	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-VN-A88K-10A-01D	TCGA-VN-A88K-10A-01D-A34X-08	1	A34X	160341713	8	7	NO	40		G	6	2014	6B34E884-089C-4069-97E8-1CF89B756557	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-J9-A8CK-01A-11D	TCGA-J9-A8CK-01A-11D-A34V-05	12	A34V	160341522	5	6	NO	13		G	18	2013	D04E9EEE-A2F5-4968-A79F-9A542703FFE8	23	0.14	1.82	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6351-11A-01R	TCGA-G9-6351-11A-01R-1964-13	8	1964	1053936634	13	7	NO	20		G	17	2011	c88f5a73-5515-4ada-8e04-3f68a3629e16	22	0.14	2.8	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-8259-10A-01W	TCGA-HC-8259-10A-01W-2288-08	5	2288	128286917	8	7	NO	80		A	23	2012	272a9ecb-3d13-4e8c-af08-951261ec4aaf	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-ZG-A9KY-01A-11D	TCGA-ZG-A9KY-01A-11D-A41J-01	5	A41J	174186391	1	8	NO	6.7		D	28	2014	E7805163-E116-4F32-BEAD-1DB31CCAC6D7	23	0.16	1.07	Total RNA	Library Preparation	Illumina TruSeq Kit
